permitnumber,address,typeofwork,commercialorresidential,occupancytype,approvedscopeofwork,permitissuedate,lng,lat
1035856,10800 KNIGHTS RD,New Construction,Commercial,,"INSTALLATION OF HVAC SYSTEM ON THIRD FLOOR OF EXISTING BUILDING AS PER APPROVED PLANS.

** 2018 IMC **",2020-03-10 13:47:00+00,-74.98307813980499,40.07117796111523
PP-2022-013703,3200 WALNUT ST,New Construction or Additions,Commercial,,"New laboratory and  fit out for UPENN  
Installation of 31 Lavs, 24 WC, 2 Showers and 7 Mop Receptors
",2022-10-17 04:00:00+00,-75.18947481001733,39.95074804120116
FP-2021-002822,3924 HAVERFORD AVE,New Construction,Commercial,,"INSTALL NEW FIRE SUPPRESSION SYSTEM COMPLYING WITH NFPA 13R THROUGHOUT THE BUILDING TO INCLUDE 2"" MAIN FIRE SERVICE LINE WITH A 2"" BACKFLOW PREVENTION ASSEMBLY, AS PER APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.

AMENDED AS OF 2.27.2023: LAYOUT CHANGE.",2021-11-22 05:00:00+00,-75.20041928019047,39.96286514074544
PP-2021-022271,2815 GRAYS FERRY AVE,New Construction or Additions,Commercial,,Plumbing Permit (Water Distribution) for combo CP-2021-005377,2022-03-10 05:00:00+00,-75.19270388036524,39.939977161310324
PP-2022-016378,2716 MANTON ST,New Construction or Additions,Residential,,Plumbing Permit (Exterior Building Drainage) for combo RP-2022-003859,2023-05-23 04:00:00+00,-75.18916349978315,39.93850790136721
FP-2022-003162,2001 BEACH ST,New Construction,Residential,,"FOR THE INSTALLATION OF AN NFPA 13R FIRE SUPRESSION SYSTEM SERVICED BY A TWO INCH PRIVATE FIRE SERVICE LINE CONNECTED TO A PREVIOUSLY APPROVED 4"" SERVICE LINE CONNECTED TO  6"" PRIVATE MAIN WITH A FIRE PUMP AND  WILKENS 350 BACK FLOW PREVENTER ASSEMBLY LOCATED WITHIN A METER PIT AS PER APPROVED PLANS  FP-2020-000201  FOR SITE WORK, PUMP, BACKFLOW PREVENTION ASSEMBLY AND MAINS.    ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. FIRE SUPPRESSION SYSTEM TO BE INSTALLED IN ACCORDANCE WITH NFPA 13R STANDARD.",2023-02-08 05:00:00+00,-75.11693210992816,39.971272101012175
FP-2021-000669,7048 GERMANTOWN AVE,New Construction,Residential,,"INSTALL NEW FIRE SUPPRESSION SYSTEM AND 1"" COMBINED SERVICE IN ACCORDANCE WITH NFPA 13D THROUGHOUT THE ENTIRE BUILDING. ALL WORK SHALL COMPLY WITH THE APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.",2021-07-19 04:00:00+00,-75.18952620972796,40.057536390834436
RP-2020-005734,706 LATONA ST,New Construction (Stand Alone),Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE CONSTRUCTION OF AN ATTACHED STRUCTURE WITH ROOF DECK ACCESSES BY A ROOF DECK ACCESS STRUCTURE. FOR A SINGLE FAMILY HOUSEHOLD LIVING WITH ACCESSORY PARKING FOR TWO. AS PER PLANS.
AMENDMENT: Change of Special Inspector -Geo-Structures ",2020-09-21 04:00:00+00,-75.15656207962547,39.93319863110503
MP-2020-005921,2500 E TIOGA ST,New Construction,Residential,,FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS TWO (2) FAMILY HOUSEHOLD LIVING. BUILDING TO BE SPRINKERED IN ACCORDANCE WITH MINIMUM 13D SYSTEM.  PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.TOWNHOUSE #27- TYPE 2A,2021-01-19 05:00:00+00,-75.09823219002979,39.990061931241826
1026911,8738 GLENLOCH ST,New Construction,Commercial,,INSTALL ROOFTOP RAILLESS SOLAR OANEL PV SYSTEM PANELS WILL NOT EXCEED HEIGHT OF ROOF. 4.14KW 12 MODULES/MICROINVERTERS  ,2020-01-31 13:59:00+00,-75.01081458046798,40.04639287063678
EP-2024-012335,2001 RICHMOND ST,New Construction,Residential,,Electrical Permit for combo RP-2024-013386,2025-01-02 05:00:00+00,-75.12027705007287,39.969617450796896
EP-2020-009138,1030 W GIRARD AVE,New Construction,Commercial,,Install 200a 3ph sub panel off existing main service for jobsite power. Supply & Install temporary job site gfci throughout. Install temporary lighting throughout as per 2017 nec,2020-10-22 04:00:00+00,-75.15379224967432,39.97039378076926
EP-2021-004598,1928 N 8TH ST,New Construction,Residential,,"Install 200a, 1ph, 120/240v main service. Install 40 circuit main breaker panel. Install all wiring throughout SFD. Install cable tv wiring as per 2014 nec",2021-05-06 04:00:00+00,-75.14781497056018,39.9811913513647
EP-2021-003831,143 W HUNTINGDON ST,New Construction,Residential,,"Install 200a, 1ph main service. Install 3 gang  meter socket. Install all wiring throughout 2 apartments and common house panel. Install cable tv wiring  AS PER NEC 2018",2021-04-15 04:00:00+00,-75.13261671949309,39.98963001072847
