permitnumber,address,typeofwork,approvedscopeofwork,permitissuedate,lng,lat
ZP-2021-001500,1231 S 13TH ST,"New construction, addition, GFA change","FOR THE ERECTION OF THE THIRD STORY ADDITION OVER TWO (2) STORY REAR PORTION OF AN EXISTING THREE (3) STORY STRUCTURE WITH ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE; SIZE AND LOCATION AS SHOWN ON PLAN.

Amendment #1:
Amend to revise the roof deck size and pilot house layout, as per the amended plan.
",2021-06-02 20:57:54+00,-75.16514727036602,39.93430571079638
PP-2022-016378,2716 MANTON ST,New Construction or Additions,Plumbing Permit (Exterior Building Drainage) for combo RP-2022-003859,2023-05-23 04:00:00+00,-75.18916349978315,39.93850790136721
RP-2020-005734,706 LATONA ST,New Construction (Stand Alone),"FOR THE CONSTRUCTION OF AN ATTACHED STRUCTURE WITH ROOF DECK ACCESSES BY A ROOF DECK ACCESS STRUCTURE. FOR A SINGLE FAMILY HOUSEHOLD LIVING WITH ACCESSORY PARKING FOR TWO. AS PER PLANS.
AMENDMENT: Change of Special Inspector -Geo-Structures ",2020-09-21 04:00:00+00,-75.15656207962547,39.93319863110503
PP-2022-006150,2543 TURNER ST,New Construction or Additions,"Install 6"" combo sewer with 1"" water service 

Install piping and finish work for the following fixtures 
basement- Toilet, lav, shower 
1st fl- Kitchen sink 
2nd fl- toilet, lav, tub, washer box 
3rd fl- toilet, 2 lavs, shower, wet bar 
AS PER PPC 2018",2022-04-21 04:00:00+00,-75.17700652008256,39.9803256007209
PP-2023-004724,2400 E VENANGO ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2022-011288,2024-01-26 05:00:00+00,-75.09661406015277,39.992419080504725
ZP-2023-001565,1029 CHRISTIAN ST,"New construction, addition, GFA change",FOR THE ERECTION OF A ROOF DECK ACCESS STRUCTURE AND A ROOF DECK. SIZE AND LOCATION PER PLAN. ,2023-04-11 00:04:20+00,-75.16046829018266,39.93950192112197
ZP-2022-002493,504-06 CARPENTER ST,"New construction, addition, GFA change","FOR THE ERECTION OF A FOUR-STORY ATTACHED STRUCTURE WITH BASEMENT AND ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE; SIZE AND LOCATION AS SHOWN IN THE APPLICATION/PLAN.",2022-03-24 20:58:57+00,-75.15239865991998,39.935943430825795
PP-2020-005207,1220 S 18TH ST,New Construction or Additions,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-08-04 04:00:00+00,-75.17391487006351,39.936096320526694
PP-2020-007191,2618 BRADDOCK ST,New Construction or Additions,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-10-06 04:00:00+00,-75.12483702974302,39.986681481272825
PP-2023-011854,2302 SHARSWOOD ST,New Construction or Additions,Plumbing Permit (Interior) for combo RP-2023-004717,2024-04-24 04:00:00+00,-75.17419729989383,39.97698324055325
PP-2022-001398,6736 PECHIN ST,New Construction or Additions,"Install new drains, and water lines for new plumbing for 3 toilets, 3 lavs, 2 tubs/showers, 1 kitchen sink, 1 washer, 1 water heater.  Install water and sewer from street into basement",2022-02-02 05:00:00+00,-75.2278936301489,40.03996101075871
RP-2020-007045,1843 HARTRANFT ST,New Construction (Stand Alone),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER (13R) WORK. (UNDERPINNNING IS NOT PART OF THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY. FOUNDATION ISSUED UNDER 998285/UNIT A103/SEE APPLICATION 1049161 FOR PLANS",2020-07-30 04:00:00+00,-75.18037121043261,39.90966000067249
PP-2021-025418,3116 BYBERRY RD,New Construction or Additions,Plumbing Permit (Interior) for combo RP-2021-020255,2022-02-17 05:00:00+00,-74.97920045975705,40.099794391131944
PP-2022-018274,1843 HARTRANFT ST,New Construction or Additions,"1"" WD HOUSE DRAIN HOUSE TRAP FAI",2023-01-04 05:00:00+00,-75.18037121043261,39.90966000067249
PP-2025-000546,391 PORT ROYAL AVE,New Construction or Additions,"Plumbing service, rough ins and fixtures for new construction 5,505 square foot single family home. EXTERIOR AND INTERIOR PLUMBING PER PPC",2025-10-08 04:00:00+00,-75.24695949046693,40.05307031072001
PP-2020-001884,7354 RIDGE AVE,New Construction or Additions,"For Interior Plumbing
Rough & Finish Installation of (4)water closets, (4)lavatories, (3)showers/tubs, (1)kitchen sink, (1)laundry sink, and (1) water heater as per 2018 Philadelphia Plumbing Code.",2020-07-13 04:00:00+00,-75.23536253980512,40.047192050533724
PP-2022-015904,1930 REED ST,New Construction or Additions,"2 Shower/Tubs
3 Toilets
3 Vanities
1 Kitchen Sink
1 Laundry
1 HWH",2022-11-10 05:00:00+00,-75.17676891012499,39.93393574092089
PP-2021-024479,2546 WEBB ST,New Construction or Additions,Plumbing Permit (Interior) for combo RP-2021-008759,2022-09-28 04:00:00+00,-75.11794853951456,39.97669231134369
PP-2022-013731,5803 CATHARINE ST,New Construction or Additions,"2	Shower/Tubs
2	Toilets
2	Vanities
2	Kitchen Sink
2	HWH
",2022-09-23 04:00:00+00,-75.2392642197281,39.950653950971514
PP-2024-001147,2501-35 E HAGERT ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2023-011701,2025-07-02 04:00:00+00,-75.12215623994686,39.977705180978276
PP-2021-021067,930 S BEULAH ST,New Construction or Additions,Installing 17 Fixtures & 1 Washer Machine,2021-11-08 05:00:00+00,-75.15554397979771,39.93727632110539
PP-2021-015429,523 N 11TH ST,New Construction or Additions,"Installing Two 1"" Water Services, 5"" Curb Trap, 4"" Main Drain & 4"" Fresh Air Inlet",2021-08-23 04:00:00+00,-75.1558254596049,39.962212670833196
PP-2020-007362,1253 PALETHORP ST,New Construction or Additions,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-08-24 04:00:00+00,-75.13859992961656,39.970756840580464
PP-2021-024340,967 N MARSHALL ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2021-015436,2022-11-18 05:00:00+00,-75.14744122944352,39.96902609112102
PP-2021-024203,957 N MARSHALL ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2021-015464,2022-11-18 05:00:00+00,-75.14749314993794,39.96876850098621
PP-2021-006773,414 POPLAR ST,New Construction or Additions,"EZPLUM - EXTERIOR BUILDING DRAINAGE PERMIT - COMPLETE PLUMBING SYSTEM FOR NEW SFD TO INCLUDE BATHS, KITCHEN / LAUNDRY, DWH, NEW WATER AND SEWER SERVICE, CURB TRAP INCL WITH BLDG DRAIN. Plumbing Permit (Exterior Building Drainage) for combo RP-2020-016344.",2022-06-27 04:00:00+00,-75.14462673055927,39.96583319114803
PP-2021-010335,2256 GREENWICH ST,New Construction or Additions,FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE-FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEOTECH REPORT. SEPARATE PERMITS REQUIRED FOR SPRINKLER (13D) WORK. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IRC. PRIOR TO ISSUANCE OF C/O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.,2021-12-21 05:00:00+00,-75.18281943011294,39.933037250895694
PP-2022-003720,1435 N 4TH ST,New Construction or Additions,"INSTALL 1 HOT WATER HEATER, 1 KITCHEN SINK, 1 BAR SINK, 1 HOSE BIBB, 1 WASHING MACHINE BOX, 1 AREA DRAIN, 5 LAVATORIES, 4 SHOWER/TUBS, 4 WATER CLOSETS ACCORDING TO THE 2018 PPC.",2022-06-14 04:00:00+00,-75.14219775029915,39.97325457091237
ZP-2021-003914,2121 PINE ST,"New construction, addition, GFA change",ERECTION OF A ROOF DECK ON THE TOP OF REAR PART (3 STORY PORTION) OF AN EXISTING STRUCTURE. SIZE AND LOCATION AS PER APPROVED PLAN,2021-05-05 13:08:37+00,-75.17754999015447,39.947296871074336
PP-2022-009270,5939 CHANCELLOR ST,New Construction or Additions,Plumbing Permit (Interior) for combo RP-2022-004166,2022-11-07 05:00:00+00,-75.24071072050853,39.95825511083458
PP-2024-006324,6995 PECHIN ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2023-011348,2025-08-12 04:00:00+00,-75.22913728038466,40.0429008809491
PP-2025-000857,723 N SHEDWICK ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2024-013600,2025-01-21 05:00:00+00,-75.19272996038612,39.966762490530876
PP-2020-015291,2014 N DARIEN ST,New Construction or Additions,FOR THE ERECTION OF AN ATTACHED STRCUTURE WITH ROOF DECK AND ROOF DECK ACCESS STRUCTURE (TO ENCLOSE STAIRS AND LANDINGS ONLY). DETAILS AS SHOWN ON PLANS. ,2021-10-01 04:00:00+00,-75.1479742099851,39.982531780540754
PP-2023-001674,2451 N HANCOCK ST,New Construction or Additions,"Install sewer and water lines from basement to each fixture in the building 5 water closets, 5 lavatories, 5 tub/shower, 
2 kitchen sinks, 2 washer box, 2 water heaters. 1 HB AND 1 SE/SP.
23 TOTAL FIXTURES",2023-03-30 04:00:00+00,-75.13436271032556,39.987842940592934
ZP-2021-009527,2228 N 3RD ST,"New construction, addition, GFA change","FOR THE ERECTION OF AN ATTACHED STRUCTURE WITH ROOF DECK, ACCESSED BY A ROOF DECK ACCESS STRUCTURE. SIZE AND LOCATION AS SHOWN IN THE APPLICATION/PLAN.",2021-10-19 18:53:14+00,-75.13903011052643,39.98487128111276
ZP-2021-001256,539 W BERKS ST,"New construction, addition, GFA change","For the erection of an attached structure, roof deck and roof deck access structure. Size and location as shown in the application/plans.",2021-04-01 19:57:29+00,-75.14443487042034,39.98024484065073
ZP-2024-003426,1331 S 23RD ST,"New construction, addition, GFA change","FOR THE ERECTION OF A THIRD FLOOR ADDITION WITH ROOF DECK AND PILOT HOUSE TO AN EXISTING 2-STORY STRUCTURE FOR USE AS SINGLE-FAMILY HOUSEHOLD LIVING; SIZE AND LOCATION AS PER APPLICATION/PLAN.",2024-11-21 15:59:01+00,-75.18229764040703,39.93506655055679
PP-2024-011426,2623 SEARS ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2024-007930,2024-11-21 05:00:00+00,-75.188075539782,39.9364574405892
PP-2022-013199,54 E PASTORIUS ST,New Construction or Additions,Plumbing Permit (Interior) for combo RP-2022-007998,2023-02-23 05:00:00+00,-75.17817785943942,40.0426730913536
PP-2020-003522,618 DUDLEY ST,New Construction or Additions,"For Interior/Exterior Plumbing of a Existing Single Family Dwelling to include CURB TRAP, FRESH AIR INLET, HOUSE DRAIN, 1"" WATER SERVICE, (3) Tubs, (3) toilets, (3) Lavs, (1) Washer, (1) Kitchen Sink, and (1) Water Heater as per 2018 Philadelphia Plumbing Code.",2020-06-15 04:00:00+00,-75.15704648943594,39.924301000845865
ZP-2024-012217,12415 BALSTON RD,"New construction, addition, GFA change","For the erection of a rear roof covered deck (rear one story addition) to an existing single family attached structure, size and location as shown on the plan.


**AMENDMENT*
CANCELLED PER OWNER EMAIL REQUEST 10/6/25
",2025-03-17 11:39:29+00,-74.9763639603594,40.098369331327326
ZP-2021-009761,4053 OLIVE ST,"New construction, addition, GFA change",FOR THE ERECTION OF AN ATTACHED BUILDING WITH A ROOF DECK AND ROOF DECK ACCESS STRUCTURE (NOT TO EXCEED 10 FT. IN HEIGHT AND 125 SQ. FT. IN AREA) (SIZE AND LOCATION AS SHOWN ON PLANS).,2021-10-18 22:14:57+00,-75.20443659051551,39.96545075120015
PP-2026-000289,2228 N NATRONA ST,New Construction or Additions,One kitchen four bathrooms,2026-01-08 05:00:00+00,-75.18586381994228,39.991090660583424
PP-2025-009614,1310 MARLBOROUGH ST,New Construction or Additions,Plumbing Permit (Water Distribution) for combo RP-2025-006188,2025-10-03 04:00:00+00,-75.13286877021811,39.971224780971454
PP-2024-004407,4050 CONSHOHOCKEN AVE,New Construction or Additions,Plumbing Permit (Interior) for combo RP-2024-002829,2024-12-09 05:00:00+00,-75.21287778965673,40.001192930634005
PP-2020-006212,4557 RIVERSIDE WAY,New Construction or Additions,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-08-05 04:00:00+00,-75.22981362016459,40.027956511257216
PP-2020-012027,1510-48 N RANDOLPH ST,New Construction or Additions,Installation of supply and DWV pipe to listed fixtured per the 2018 Philadelphia Plumbing Code,2021-09-13 04:00:00+00,-75.14514065026701,39.974732670816756
