permitnumber,address,typeofwork,approvedscopeofwork,permitissuedate,lng,lat
ZP-2021-001500,1231 S 13TH ST,"New construction, addition, GFA change","FOR THE ERECTION OF THE THIRD STORY ADDITION OVER TWO (2) STORY REAR PORTION OF AN EXISTING THREE (3) STORY STRUCTURE WITH ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE; SIZE AND LOCATION AS SHOWN ON PLAN.

Amendment #1:
Amend to revise the roof deck size and pilot house layout, as per the amended plan.
",2021-06-02 20:57:54+00,-75.16514727036602,39.93430571079638
RP-2021-013425,5546 N LAWRENCE ST,Addition and/or Alteration,"MAKE SAFE PERMIT - For (MAKE SAFE - rebuild front porch as per engineer's report & plans. ) to resolve cases #CF-2021-057712 & CF-2021-057554.  Abutting sidewalk must be closed with fencing a minimum of 6' in height. Separate Streets Department permit required for sidewalk closure. A separate permit is required for any additional alterations that are not specifically addressed on cases #CF-2021-057712 & CF-2021-057554. ""In accordance with Code Bulletin PM-1801, a PA professional engineer is required to monitor repairs made under this permit. The engineer must submit a sealed statement to the Department confirming that the structure is in sound condition at completion.""",2021-09-07 04:00:00+00,-75.12988010014195,40.03586968092678
PP-2021-001996,2050 MORRIS ST,Alterations,"Replace 4"" Cast Iron Main House Drain Sanitary Sewer Line From Curb Trap In Sidewalk Into House.
Replace Existing 4"" Cast Iron Sanitary Drain Line Above Slab In Basement With 4"" PVC Pipe.",2021-03-15 04:00:00+00,-75.17971921986319,39.930525770769925
PP-2021-008402,1609 S ROSEWOOD ST,Alterations,Replacement of 40 gallon gas water heater,2021-05-13 04:00:00+00,-75.16901146036719,39.93028812083735
PP-2022-016378,2716 MANTON ST,New Construction or Additions,Plumbing Permit (Exterior Building Drainage) for combo RP-2022-003859,2023-05-23 04:00:00+00,-75.18916349978315,39.93850790136721
PP-2022-009920,754 S 9TH ST,Alterations,"
Excavate area at curb by trap back to doors on sidewalk. 
Dig down to expose and remove defective trap.
Supply and install new 5” x 4” curb trap with fresh air inlet. 
Supply and install section of pipe back to doors.
Supply and install new Philadelphia Regulation vent box and cover.",2022-06-30 04:00:00+00,-75.15782323017753,39.9402150612923
PP-2024-008002,1207 KONRAD PL,Alterations,Replacement of 40 gal Gas water heater,2024-06-05 04:00:00+00,-75.02113020014599,40.10361526131665
PP-2021-009171,3724 MERRICK RD,Alterations,Replacement of 40 gallon electric water heater,2021-05-25 04:00:00+00,-75.19696470975751,40.01142428084432
EP-2025-007081,2823 N 25TH ST,Addition and/or Alteration,"Amended 7/30/25

100AMP Service and panel-30 space panel
Basement/first floor, ARC fault, 20AMP
Ground fault receptacle and dedicated circuit-second floor 
Install bedroom fixture 
Install flush mount led ceiling fixture (basement)
Install smoke detector, 10 year battery 
Install smoke/carbon monoxide detector, 10 year battery
Permit
Redistribute overloaded circuit (basement)
Second floor, ARC fault, 20AMP
Underwriter inspection


Rewire existing outlets on the first and second floor where walls are currently open.",2025-07-24 04:00:00+00,-75.17165553992403,39.99836184062302
EP-2020-004955,618 CRISTINA PL,Addition and/or Alteration,"install 100 amp service w/ 30 circuit panel, dryer circuit
FISHING WIRE THRU EXISTING WALLS ONLY
PER NEC 2014",2020-07-22 04:00:00+00,-75.2152224196212,39.96295157125483
PP-2024-013832,4852 N FRANKLIN ST,Alterations,Replacement of 40-Gal gas water heater,2024-10-14 04:00:00+00,-75.13735105040303,40.02603139129773
