Rank_by_Units,Station,Line,Mode,District,Units_2020_2025,Score,Tier,BSL_MFL_Citywide_Rank,Existing_TOD_Overlay
1,Girard,Broad Street Line,BSL/MFL,5,816,77.0,Tier 1 - High Priority,4,No
2,Girard,Market/Frankford Line,BSL/MFL,5,816,76.4,Tier 1 - High Priority,5,No
3,Berks,Market/Frankford Line,BSL/MFL,7,779,91.3,Tier 1 - High Priority,2,Yes
4,York-Dauphin,Market/Frankford Line,BSL/MFL,7,764,95.5,Tier 1 - High Priority,1,No
5,46th Street,Market/Frankford Line,BSL/MFL,3,510,78.5,Tier 1 - High Priority,3,Yes
6,Ellsworth-Federal,Broad Street Line,BSL/MFL,1,452,72.7,Tier 1 - High Priority,6,No
7,30th Street Station,Regional Rail,Regional Rail,3,356,,Regional Rail,,No
8,Temple University,Regional Rail,Regional Rail,5,322,,Regional Rail,,No
9,Suburban Station,Regional Rail,Regional Rail,5,293,,Regional Rail,,No
10,Erie,Broad Street Line,BSL/MFL,5,255,61.0,Tier 2 - Strong Candidate,7,No
11,49th Street,Regional Rail,Regional Rail,3,167,,Regional Rail,,No
12,Huntingdon,Market/Frankford Line,BSL/MFL,7,156,42.7,Tier 3 - Moderate Candidate,8,Yes
13,52nd Street,Market/Frankford Line,BSL/MFL,3,118,37.6,Tier 3 - Moderate Candidate,9,Yes
14,Overbrook,Regional Rail,Regional Rail,4,111,,Regional Rail,,No
15,North Philadelphia Amtrak,Regional Rail,Regional Rail,8,93,,Regional Rail,,No
16,North Philadelphia,Regional Rail,Regional Rail,8,93,,Regional Rail,,No
17,Chelten Avenue,Regional Rail,Regional Rail,8,84,,Regional Rail,,No
18,North Broad,Regional Rail,Regional Rail,5,79,,Regional Rail,,No
19,Susquehanna-Dauphin,Broad Street Line,BSL/MFL,5,77,30.2,Tier 3 - Moderate Candidate,11,No
20,Somerset,Market/Frankford Line,BSL/MFL,7,50,32.0,Tier 3 - Moderate Candidate,10,Yes
21,East Falls,Regional Rail,Regional Rail,4,46,,Regional Rail,,No
22,Hunting Park,Broad Street Line,BSL/MFL,5,45,27.4,Tier 4 - Lower Priority,16,No
23,Manayunk,Regional Rail,Regional Rail,4,44,,Regional Rail,,No
24,Church,Market/Frankford Line,BSL/MFL,7,42,29.6,Tier 4 - Lower Priority,13,No
25,63rd Street,Market/Frankford Line,BSL/MFL,3,40,29.7,Tier 4 - Lower Priority,12,Yes
26,Germantown,Regional Rail,Regional Rail,8,40,,Regional Rail,,No
