Rank_by_Units,Station_Stop_Name,Line_Route,Mode,District,Units_2020_2025,Permits_2020_2025,Score,Tier,BSL_MFL_Citywide_Rank,Existing_TOD_Overlay
1,Girard,Broad Street Line,BSL/MFL,5,816,,77.0,Tier 1 - High Priority,4,No
2,Girard,Market/Frankford Line,BSL/MFL,5,816,,76.4,Tier 1 - High Priority,5,No
3,Berks,Market/Frankford Line,BSL/MFL,7,779,,91.3,Tier 1 - High Priority,2,Yes
4,York-Dauphin,Market/Frankford Line,BSL/MFL,7,764,,95.5,Tier 1 - High Priority,1,No
5,Lancaster Av & 41st St,Trolley T1,Trolley,3,660,70,,Trolley,,No
6,Lancaster Av & 41st St,Trolley T1,Trolley,3,653,70,,Trolley,,No
7,Girard Av & 16th St,Trolley G1,Trolley,5,622,54,,Trolley,,No
8,Girard Av & 16th St,Trolley G1,Trolley,5,622,54,,Trolley,,No
9,Lancaster Av & Wallace St,Trolley T1,Trolley,3,619,64,,Trolley,,No
10,Lancaster Av & Haverford Av,Trolley T1,Trolley,3,588,62,,Trolley,,No
11,Lancaster Av & 42nd St,Trolley T1,Trolley,3,583,64,,Trolley,,No
12,Lancaster Av & Parrish St,Trolley T1,Trolley,3,577,62,,Trolley,,No
13,Girard Av & 17th St,Trolley G1,Trolley,5,560,55,,Trolley,,No
14,Lancaster Av & 40th St,Trolley T1,Trolley,3,551,57,,Trolley,,No
15,Girard Av & 17th St,Trolley G1,Trolley,5,546,53,,Trolley,,No
16,Lancaster Av & 42nd St,Trolley T1,Trolley,3,540,59,,Trolley,,No
17,Lancaster Av & 43th St,Trolley T1,Trolley,3,527,57,,Trolley,,No
18,Girard Av & 42nd St,Trolley G1,Trolley,3,526,57,,Trolley,,No
19,46th Street,Market/Frankford Line,BSL/MFL,3,510,,78.5,Tier 1 - High Priority,3,Yes
20,Girard Av & 42nd St,Trolley G1,Trolley,3,506,55,,Trolley,,No
21,Girard Av & Ridge Av,Trolley G1,Trolley,5,502,48,,Trolley,,No
22,Girard Av & Ridge Av,Trolley G1,Trolley,5,502,48,,Trolley,,No
23,Lancaster Av & Spring Garden St,Trolley T1,Trolley,3,456,51,,Trolley,,No
24,Ellsworth-Federal,Broad Street Line,BSL/MFL,1,452,,72.7,Tier 1 - High Priority,6,No
25,Girard Av & 41st St,Trolley G1,Trolley,3,448,50,,Trolley,,No
26,Girard Av & Broad St,Trolley G1,Trolley,5,442,25,,Trolley,,No
