District,Rank,Station_Stop_Name,Line_Route,Mode,Units_2020_2025,Composite_Score,Tier,Citywide_Rank,Is_Boundary,Existing_TOD
1,1,Girard,Market/Frankford Line,BSL/MFL,816,96.4,Tier 1 - High Priority,3,Yes,No
1,2,Ellsworth-Federal,Broad Street Line,BSL/MFL,452,92.7,Tier 1 - High Priority,6,Yes,No
1,3,Huntingdon,Market/Frankford Line,BSL/MFL,156,62.1,Tier 3 - Moderate Candidate,8,Yes,Yes
1,4,Girard Av & 2nd St,Trolley G1,Trolley,386,59.3,Trolley,Trolley #26,No,No
1,5,Girard Av & Front St,Trolley G1,Trolley,386,59.3,Trolley,Trolley #27,No,No
2,1,Ellsworth-Federal,Broad Street Line,BSL/MFL,452,92.7,Tier 1 - High Priority,6,Yes,No
2,2,Oregon,Broad Street Line,BSL/MFL,0,43.9,Tier 4 - Lower Priority,23,Yes,No
2,3,AT&T Station,Broad Street Line,BSL/MFL,0,39.1,Tier 4 - Lower Priority,30,No,No
2,4,Island Av & Tanager St - F,Trolley T5,Trolley,65,31.2,Trolley,Trolley #180,No,No
2,5,Island Av & Buist Av,Trolley T5,Trolley,65,31.2,Trolley,Trolley #181,No,No
3,1,46th Street,Market/Frankford Line,BSL/MFL,510,98.5,Tier 1 - High Priority,1,No,Yes
3,2,Lancaster Av & 41st St,Trolley T1,Trolley,660,83.2,Trolley,Trolley #1,No,No
3,3,Lancaster Av & 41st St,Trolley T1,Trolley,653,82.6,Trolley,Trolley #2,No,No
3,4,Lancaster Av & Wallace St,Trolley T1,Trolley,619,79.7,Trolley,Trolley #5,No,No
3,5,Lancaster Av & Haverford Av,Trolley T1,Trolley,588,76.9,Trolley,Trolley #6,No,No
4,1,56th Street,Market/Frankford Line,BSL/MFL,9,46.9,Tier 4 - Lower Priority,17,Yes,Yes
4,2,Girard Av & 51st St,Trolley G1,Trolley,113,35.4,Trolley,Trolley #129,No,No
4,3,Girard Av & 52nd St,Trolley G1,Trolley,113,35.4,Trolley,Trolley #130,No,No
4,4,Girard Av & 52nd St,Trolley G1,Trolley,113,35.4,Trolley,Trolley #131,No,No
4,5,Girard Av & 39th St,Trolley G1,Trolley,110,35.1,Trolley,Trolley #137,No,No
5,1,Girard,Broad Street Line,BSL/MFL,816,97.0,Tier 1 - High Priority,2,No,No
5,2,Girard,Market/Frankford Line,BSL/MFL,816,96.4,Tier 1 - High Priority,3,Yes,No
5,3,Girard Av & 16th St,Trolley G1,Trolley,622,79.9,Trolley,Trolley #3,No,No
5,4,Girard Av & 16th St,Trolley G1,Trolley,622,79.9,Trolley,Trolley #4,No,No
5,5,Girard Av & 17th St,Trolley G1,Trolley,560,74.5,Trolley,Trolley #9,No,No
6,1,Tioga,Market/Frankford Line,BSL/MFL,0,41.9,Tier 4 - Lower Priority,28,Yes,Yes
6,2,Erie-Torresdale,Market/Frankford Line,BSL/MFL,0,41.3,Tier 4 - Lower Priority,29,Yes,Yes
6,3,Richmond St & Allegheny Av,Trolley G1,Trolley,41,29.1,Trolley,Trolley #219,No,No
6,4,Bridesburg,Regional Rail,RR,0,18.0,Regional Rail,RR #31,Yes,No
7,1,York-Dauphin,Market/Frankford Line,BSL/MFL,764,95.5,Tier 1 - High Priority,4,No,No
7,2,Berks,Market/Frankford Line,BSL/MFL,779,95.0,Tier 1 - High Priority,5,No,Yes
7,3,Huntingdon,Market/Frankford Line,BSL/MFL,156,62.1,Tier 3 - Moderate Candidate,8,Yes,Yes
7,4,Somerset,Market/Frankford Line,BSL/MFL,50,50.0,Tier 3 - Moderate Candidate,11,Yes,Yes
7,5,Church,Market/Frankford Line,BSL/MFL,42,48.1,Tier 4 - Lower Priority,13,No,No
8,1,Olney Transportation Center,Broad Street Line,BSL/MFL,36,47.1,Tier 4 - Lower Priority,15,Yes,No
8,2,Wyoming,Broad Street Line,BSL/MFL,17,43.6,Tier 4 - Lower Priority,24,No,No
8,3,Logan,Broad Street Line,BSL/MFL,3,43.2,Tier 4 - Lower Priority,25,Yes,No
8,4,North Philadelphia Amtrak,Regional Rail,RR,93,26.1,Regional Rail,RR #6,Yes,No
8,5,North Philadelphia,Regional Rail,RR,93,26.1,Regional Rail,RR #7,No,No
9,1,Olney Transportation Center,Broad Street Line,BSL/MFL,36,47.1,Tier 4 - Lower Priority,15,Yes,No
9,2,Logan,Broad Street Line,BSL/MFL,3,43.2,Tier 4 - Lower Priority,25,Yes,No
9,3,Olney,Regional Rail,RR,0,18.0,Regional Rail,RR #28,No,No
9,4,Fern Rock T C,Regional Rail,RR,0,18.0,Regional Rail,RR #29,No,No
