Rank,Station,District,Permits_2020_2025,Units_2020_2025,Latitude,Longitude
1,30th Street Station,3,4,356,39.956667,-75.181667
2,Temple University,5,33,322,39.981389,-75.149444
3,Suburban Station,5,3,293,39.953889,-75.167778
4,49th Street,3,10,167,39.943611,-75.216667
5,Overbrook,4,1,111,39.989444,-75.249444
6,North Philadelphia Amtrak,8,8,93,39.997222,-75.155
7,North Philadelphia,8,8,93,39.997778,-75.156389
8,Chelten Avenue,8,6,84,40.03,-75.180833
9,North Broad,5,10,79,39.992222,-75.153889
10,East Falls,4,2,46,40.011389,-75.191944
11,Manayunk,4,5,44,40.026944,-75.225
12,Germantown,8,4,40,40.0375,-75.171667
13,Wayne Junction,8,3,30,40.022222,-75.16
14,Upsal,8,3,30,40.0425,-75.19
15,Queen Lane,8,2,20,40.023333,-75.178056
16,Angora,3,1,10,39.944722,-75.238611
17,Wissahickon,4,1,10,40.016667,-75.210278
18,Wister,8,1,10,40.036111,-75.161111
19,Tulpehocken,8,1,10,40.035278,-75.186944
20,Ivy Ridge,4,1,10,40.034167,-75.235556
21,Carpenter,8,1,10,40.051111,-75.191389
22,Allen Lane,8,1,10,40.0575,-75.194722
23,Market East,1,0,0,39.9525,-75.158056
24,University City,3,0,0,39.948056,-75.190278
25,Allegheny,8,0,0,40.003611,-75.164722
26,Wynnefield Avenue,4,0,0,39.99,-75.225556
27,Eastwick,2,0,0,39.892778,-75.243889
28,Olney,9,0,0,40.033333,-75.122778
29,Fern Rock T C,9,0,0,40.040556,-75.134722
30,Airport Terminal E F,2,0,0,39.879444,-75.239722
31,Bridesburg,6,0,0,40.010556,-75.069722
32,Airport Terminal C D,2,0,0,39.878056,-75.24
33,Airport Terminal B,2,0,0,39.877222,-75.241389
34,Airport Terminal A,2,0,0,39.876111,-75.245278
35,Washington Lane,8,0,0,40.050833,-75.171389
36,Stenton,8,0,0,40.060556,-75.178611
