RR_Rank,Station,District,Units_2020_2025,Permits_2020_2025,Development_Score,Frequency_Score,Total_Score
1,30th Street Station,3,356,4,31.2,18.0,49.2
2,Temple University,5,322,33,28.2,18.0,46.2
3,Suburban Station,5,293,3,25.6,18.0,43.6
4,49th Street,3,167,10,14.6,18.0,32.6
5,Overbrook,4,111,1,9.7,18.0,27.7
6,North Philadelphia Amtrak,8,93,8,8.1,18.0,26.1
7,North Philadelphia,8,93,8,8.1,18.0,26.1
8,Chelten Avenue,8,84,6,7.3,18.0,25.4
9,North Broad,5,79,10,6.9,18.0,24.9
10,East Falls,4,46,2,4.0,18.0,22.0
11,Manayunk,4,44,5,3.9,18.0,21.9
12,Germantown,8,40,4,3.5,18.0,21.5
13,Wayne Junction,8,30,3,2.6,18.0,20.6
14,Upsal,8,30,3,2.6,18.0,20.6
15,Queen Lane,8,20,2,1.8,18.0,19.8
16,Angora,3,10,1,0.9,18.0,18.9
17,Wissahickon,4,10,1,0.9,18.0,18.9
18,Wister,8,10,1,0.9,18.0,18.9
19,Tulpehocken,8,10,1,0.9,18.0,18.9
20,Ivy Ridge,4,10,1,0.9,18.0,18.9
21,Carpenter,8,10,1,0.9,18.0,18.9
22,Allen Lane,8,10,1,0.9,18.0,18.9
23,Market East,1,0,0,0.0,18.0,18.0
24,University City,3,0,0,0.0,18.0,18.0
25,Allegheny,8,0,0,0.0,18.0,18.0
26,Wynnefield Avenue,4,0,0,0.0,18.0,18.0
27,Eastwick,2,0,0,0.0,18.0,18.0
28,Olney,9,0,0,0.0,18.0,18.0
29,Fern Rock T C,9,0,0,0.0,18.0,18.0
30,Airport Terminal E F,2,0,0,0.0,18.0,18.0
31,Bridesburg,6,0,0,0.0,18.0,18.0
32,Airport Terminal C D,2,0,0,0.0,18.0,18.0
33,Airport Terminal B,2,0,0,0.0,18.0,18.0
34,Airport Terminal A,2,0,0,0.0,18.0,18.0
35,Washington Lane,8,0,0,0.0,18.0,18.0
36,Stenton,8,0,0,0.0,18.0,18.0
