Station,Line,District,DVRPC_Units_2007_2017,DVRPC_Dev_Score,Units_2020_2025,Permits_2020_2025,Unit_Score,Change_from_DVRPC,Pct_Change
Girard,Market/Frankford Line,N/A,1543,4.0,816,23,40,-727.0,-47.1
Girard,Broad Street Line,N/A,1626,4.0,816,23,40,-810.0,-49.8
Berks,Market/Frankford Line,N/A,371,3.0,779,39,40,408.0,110.0
York-Dauphin,Market/Frankford Line,N/A,102,2.0,764,43,40,662.0,649.0
46th Street,Market/Frankford Line,N/A,703,4.0,510,5,40,-193.0,-27.5
Ellsworth-Federal,Broad Street Line,N/A,1658,4.0,452,7,40,-1206.0,-72.7
Erie,Broad Street Line,N/A,30,1.0,255,32,40,225.0,750.0
Huntingdon,Market/Frankford Line,N/A,141,3.0,156,17,40,15.0,10.6
52nd Street,Market/Frankford Line,N/A,237,3.0,118,17,40,-119.0,-50.2
Susquehanna-Dauphin,Broad Street Line,N/A,170,3.0,77,21,30.8,-93.0,-54.7
Somerset,Market/Frankford Line,N/A,0,1.0,50,2,20.0,50.0,999
Hunting Park,Broad Street Line,N/A,32,1.0,45,1,18.0,13.0,40.6
Church,Market/Frankford Line,N/A,5,1.0,42,1,16.8,37.0,740.0
63rd Street,Market/Frankford Line,N/A,70,2.0,40,8,16.0,-30.0,-42.9
Olney Transportation Center,Broad Street Line,N/A,0,1.0,36,1,14.4,36.0,999
Arrott Transportation Center,Market/Frankford Line,N/A,5,1.0,30,5,12.0,25.0,500.0
60th Street,Market/Frankford Line,N/A,172,3.0,22,3,8.8,-150.0,-87.2
Cecil B Moore,Broad Street Line,N/A,955,4.0,17,5,6.8,-938.0,-98.2
Wyoming,Broad Street Line,N/A,40,1.0,17,2,6.8,-23.0,-57.5
56th Street,Market/Frankford Line,N/A,102,2.0,9,3,3.6,-93.0,-91.2
Tasker-Morris,Broad Street Line,N/A,345,3.0,6,1,2.4,-339.0,-98.3
Logan,Broad Street Line,N/A,40,1.0,3,1,1.2,-37.0,-92.5
Allegheny,Broad Street Line,N/A,0,1.0,3,1,1.2,3.0,999
Snyder,Broad Street Line,N/A,151,3.0,3,1,1.2,-148.0,-98.0
Allegheny,Market/Frankford Line,N/A,0,1.0,3,1,1.2,3.0,999
Frankford Transportation Center,Market/Frankford Line,N/A,22,1.0,3,1,1.2,-19.0,-86.4
Erie-Torresdale,Market/Frankford Line,N/A,0,1.0,0,0,0.0,0.0,999
Tioga,Market/Frankford Line,N/A,0,1.0,0,0,0.0,0.0,999
Oregon,Broad Street Line,N/A,0,1.0,0,0,0.0,0.0,999
AT&T Station,Broad Street Line,N/A,0,1.0,0,0,0.0,0.0,999
