Rank,Station,Line,District,Tier,Total_Score,Recent_Dev_Score,Momentum_Score,Connectivity_Score,Existing_Score,Future_Score,Units_2020_2026,Change_from_DVRPC,Num_Lines,DVRPC_Existing_Orientation,DVRPC_Future_Potential
1,Girard,Broad Street Line,N/A,Tier 1 - High Priority,82.1,40,5,20,9.6,7.5,816,-810,2,3.857143,3.0
2,Girard,Market/Frankford Line,N/A,Tier 1 - High Priority,81.8,40,5,20,9.3,7.5,816,-810,2,3.714286,3.0
3,York-Dauphin,Market/Frankford Line,N/A,Tier 1 - High Priority,75.5,40,20,0,10.0,5.5,764,662,1,4.0,2.2
4,Berks,Market/Frankford Line,N/A,Tier 1 - High Priority,72.4,40,17.2,0,9.6,5.5,779,408,1,3.857143,2.2
5,46th Street,Market/Frankford Line,N/A,Tier 2 - Strong Candidate,63.6,40,5,0,9.6,9.0,510,-193,1,3.857143,3.6
6,Ellsworth-Federal,Broad Street Line,N/A,Tier 2 - Strong Candidate,58.8,36.2,5,0,9.6,8.0,452,-1206,1,3.857143,3.2
7,Erie,Broad Street Line,N/A,Tier 3 - Moderate Candidate,48.8,20.4,11.8,0,9.6,7.0,255,225,1,3.857143,2.8
8,Allegheny,Broad Street Line,N/A,Tier 3 - Moderate Candidate,39.6,0.2,5.1,20,9.3,5.0,3,3,2,3.714286,2.0
9,Allegheny,Market/Frankford Line,N/A,Tier 3 - Moderate Candidate,38.1,0.2,5.1,20,9.3,3.5,3,3,2,3.714286,1.4
10,Huntingdon,Market/Frankford Line,N/A,Tier 3 - Moderate Candidate,34.6,12.5,5.5,0,9.6,7.0,156,15,1,3.857143,2.8
11,52nd Street,Market/Frankford Line,N/A,Tier 3 - Moderate Candidate,30.2,9.4,3.8,0,10.0,7.0,118,-119,1,4.0,2.8
12,Somerset,Market/Frankford Line,N/A,Tier 4 - Lower Priority,25.5,4.0,6.5,0,10.0,5.0,50,50,1,4.0,2.0
13,63rd Street,Market/Frankford Line,N/A,Tier 4 - Lower Priority,24.0,3.2,4.7,0,9.6,6.5,40,-30,1,3.857143,2.6
14,Susquehanna-Dauphin,Broad Street Line,N/A,Tier 4 - Lower Priority,23.9,6.2,4.1,0,9.6,4.0,77,-93,1,3.857143,1.6
15,Church,Market/Frankford Line,N/A,Tier 4 - Lower Priority,23.9,3.4,6.1,0,8.9,5.5,42,37,1,3.571429,2.2
16,Olney Transportation Center,Broad Street Line,N/A,Tier 4 - Lower Priority,22.5,2.9,6.1,0,10.0,3.5,36,36,1,4.0,1.4
17,Arrott Transportation Center,Market/Frankford Line,N/A,Tier 4 - Lower Priority,21.9,2.4,5.8,0,9.3,4.5,30,25,1,3.714286,1.8
18,Hunting Park,Broad Street Line,N/A,Tier 4 - Lower Priority,21.8,3.6,5.4,0,9.3,3.5,45,13,1,3.714286,1.4
19,56th Street,Market/Frankford Line,N/A,Tier 4 - Lower Priority,20.9,0.7,4.1,0,9.6,6.5,9,-93,1,3.857143,2.6
20,60th Street,Market/Frankford Line,N/A,Tier 4 - Lower Priority,20.9,1.8,3.5,0,9.6,6.0,22,-150,1,3.857143,2.4
21,Snyder,Broad Street Line,N/A,Tier 4 - Lower Priority,20.4,0.2,3.5,0,9.6,7.0,3,-148,1,3.857143,2.8
22,Oregon,Broad Street Line,N/A,Tier 4 - Lower Priority,19.3,0.0,5.0,0,9.3,5.0,0,0,1,3.714286,2.0
23,Wyoming,Broad Street Line,N/A,Tier 4 - Lower Priority,18.4,1.4,4.8,0,9.3,3.0,17,-23,1,3.714286,1.2
24,Logan,Broad Street Line,N/A,Tier 4 - Lower Priority,18.3,0.2,4.6,0,8.9,4.5,3,-37,1,3.571429,1.8
25,Tasker-Morris,Broad Street Line,N/A,Tier 4 - Lower Priority,17.6,0.5,1.6,0,10.0,5.5,6,-339,1,4.0,2.2
26,Frankford Transportation Center,Market/Frankford Line,N/A,Tier 4 - Lower Priority,17.6,0.2,4.8,0,8.6,4.0,3,-19,1,3.428571,1.6
27,Tioga,Market/Frankford Line,N/A,Tier 4 - Lower Priority,17.3,0.0,5.0,0,9.3,3.0,0,0,1,3.714286,1.2
28,Erie-Torresdale,Market/Frankford Line,N/A,Tier 4 - Lower Priority,17.2,0.0,5.0,0,8.2,4.0,0,0,1,3.285714,1.6
29,Cecil B Moore,Broad Street Line,N/A,Tier 4 - Lower Priority,16.6,1.4,0,0,9.3,6.0,17,-938,1,3.714286,2.4
30,AT&T Station,Broad Street Line,N/A,Tier 4 - Lower Priority,15.9,0.0,5.0,0,6.4,4.5,0,0,1,2.571429,1.8
