Trolley_Rank,Stop_Name,Route,District,Units_2020_2025,Permits_2020_2025,Development_Score,Frequency_Score,Total_Score
1,Lancaster Av & 41st St,T1,3,660,70,57.8,25.5,83.2
2,Lancaster Av & 41st St,T1,3,653,70,57.1,25.5,82.6
3,Girard Av & 16th St,G1,5,622,54,54.4,25.5,79.9
4,Girard Av & 16th St,G1,5,622,54,54.4,25.5,79.9
5,Lancaster Av & Wallace St,T1,3,619,64,54.2,25.5,79.7
6,Lancaster Av & Haverford Av,T1,3,588,62,51.4,25.5,76.9
7,Lancaster Av & 42nd St,T1,3,583,64,51.0,25.5,76.5
8,Lancaster Av & Parrish St,T1,3,577,62,50.5,25.5,76.0
9,Girard Av & 17th St,G1,5,560,55,49.0,25.5,74.5
10,Lancaster Av & 40th St,T1,3,551,57,48.2,25.5,73.7
11,Girard Av & 17th St,G1,5,546,53,47.8,25.5,73.3
12,Lancaster Av & 42nd St,T1,3,540,59,47.2,25.5,72.8
13,Lancaster Av & 43th St,T1,3,527,57,46.1,25.5,71.6
14,Girard Av & 42nd St,G1,3,526,57,46.0,25.5,71.5
15,Girard Av & 42nd St,G1,3,506,55,44.3,25.5,69.8
16,Girard Av & Ridge Av,G1,5,502,48,43.9,25.5,69.4
17,Girard Av & Ridge Av,G1,5,502,48,43.9,25.5,69.4
18,Lancaster Av & Spring Garden St,T1,3,456,51,39.9,25.5,65.4
19,Girard Av & 41st St,G1,3,448,50,39.2,25.5,64.7
20,Girard Av & Broad St,G1,5,442,25,38.7,25.5,64.2
21,Girard Av & 41st St,G1,3,438,49,38.3,25.5,63.8
22,Lancaster Av & Spring Garden St,T1,3,436,49,38.2,25.5,63.7
23,Girard Av & Broad St,G1,5,422,23,36.9,25.5,62.4
24,Girard Av & 2nd St,G1,5,406,22,35.5,25.5,61.0
25,Girard Av & 19th St,G1,5,406,38,35.5,25.5,61.0
26,Girard Av & 2nd St,G1,1,386,20,33.8,25.5,59.3
27,Girard Av & Front St,G1,1,386,21,33.8,25.5,59.3
28,Lancaster Av & Ogden St,T1,3,378,40,33.1,25.5,58.6
29,Girard Av & Front St,G1,5,376,20,32.9,25.5,58.4
30,Girard Av & 7th St,G1,5,363,31,31.8,25.5,57.3
31,Girard Av & 7th St,G1,5,353,30,30.9,25.5,56.4
32,Girard Av & 8th St,G1,5,351,29,30.7,25.5,56.2
33,Frankford Av & Girard Av - FS,G1,1,346,21,30.3,25.5,55.8
34,Frankford Av & Girard Av,G1,1,346,21,30.3,25.5,55.8
35,Frankford Av & Girard Av - FS,G1,1,346,21,30.3,25.5,55.8
36,Girard Av & 19th St,G1,5,344,31,30.1,25.5,55.6
37,Lancaster Av & 44th St,T1,3,339,36,29.7,25.5,55.2
38,Lancaster Av & Westminster St,T1,3,337,35,29.5,25.5,55.0
39,Girard Av & Frankford Av- FS,G1,1,336,20,29.4,25.5,54.9
40,Drexel Station at 30th St,T1,3,336,2,29.4,25.5,54.9
41,Drexel Station at 30th St,T1,3,336,2,29.4,25.5,54.9
42,Drexel Station at 30th St,T2,3,336,2,29.4,25.5,54.9
43,Drexel Station at 30th St,T2,3,336,2,29.4,25.5,54.9
44,Drexel Station at 30th St,T3,3,336,2,29.4,25.5,54.9
45,Drexel Station at 30th St,T3,3,336,2,29.4,25.5,54.9
46,Drexel Station at 30th St,T4,3,336,2,29.4,25.5,54.9
47,Drexel Station at 30th St,T4,3,336,2,29.4,25.5,54.9
48,Drexel Station at 30th St,T5,3,336,2,29.4,25.5,54.9
49,Drexel Station at 30th St,T5,3,336,2,29.4,25.5,54.9
50,Girard Av & 8th St,G1,5,331,27,29.0,25.5,54.5
51,33rd St,T1,3,326,1,28.5,25.5,54.0
52,33rd St,T2,3,326,1,28.5,25.5,54.0
53,33rd St,T3,3,326,1,28.5,25.5,54.0
54,33rd St,T4,3,326,1,28.5,25.5,54.0
55,33rd St,T5,3,326,1,28.5,25.5,54.0
56,Frankford Av & Richmond St,G1,1,306,17,26.8,25.5,52.3
57,Frankford Av & Richmond St,G1,1,306,17,26.8,25.5,52.3
58,Frankford Av & Richmond St,G1,1,306,17,26.8,25.5,52.3
59,Frankford Av & Richmond St,G1,1,306,17,26.8,25.5,52.3
60,Girard Av & 20th St,G1,5,296,26,25.9,25.5,51.4
61,Lancaster Av & 45th St,T1,3,291,31,25.5,25.5,51.0
62,Girard Av & Corinthian Av,G1,5,287,30,25.1,25.5,50.6
63,Girard Av & 20th St,G1,5,286,25,25.0,25.5,50.5
64,Girard Av & Corinthian Av,G1,5,277,29,24.2,25.5,49.7
