Rank,Stop_Name,Route,District,Permits_2020_2025,Units_2020_2025,Latitude,Longitude
1,Lancaster Av & 41st St,T1,3,70,660,39.965093,-75.205564
2,Lancaster Av & 41st St,T1,3,70,653,39.965102,-75.205386
3,Girard Av & 16th St,G1,5,54,622,39.971908,-75.162605
4,Girard Av & 16th St,G1,5,54,622,39.971828,-75.162806
5,Lancaster Av & Wallace St,T1,3,64,619,39.963857,-75.203371
6,Lancaster Av & Haverford Av,T1,3,62,588,39.9629,-75.201826
7,Lancaster Av & 42nd St,T1,3,64,583,39.966399,-75.207485
8,Lancaster Av & Parrish St,T1,3,62,577,39.96767,-75.20956
9,Girard Av & 17th St,G1,5,55,560,39.972028,-75.164352
10,Lancaster Av & 40th St,T1,3,57,551,39.963151,-75.20244
11,Girard Av & 17th St,G1,5,53,546,39.972116,-75.164151
12,Lancaster Av & 42nd St,T1,3,59,540,39.966391,-75.207662
13,Lancaster Av & 43th St,T1,3,57,527,39.967725,-75.209878
14,Girard Av & 42nd St,G1,3,57,526,39.973542,-75.208975
15,Girard Av & 42nd St,G1,3,55,506,39.973658,-75.208797
16,Girard Av & Ridge Av,G1,5,48,502,39.97238,-75.166217
17,Girard Av & Ridge Av,G1,5,48,502,39.972309,-75.166572
18,Lancaster Av & Spring Garden St,T1,3,51,456,39.962004,-75.200353
19,Girard Av & 41st St,G1,3,50,448,39.973823,-75.206528
20,Girard Av & Broad St,G1,5,25,442,39.971428,-75.159594
21,Girard Av & 41st St,G1,3,49,438,39.973966,-75.206268
22,Lancaster Av & Spring Garden St,T1,3,49,436,39.961923,-75.199952
23,Girard Av & Broad St,G1,5,23,422,39.971499,-75.159275
24,Girard Av & 2nd St,G1,5,22,406,39.9695,-75.13945
25,Girard Av & 19th St,G1,5,38,406,39.972507,-75.167339
26,Girard Av & 2nd St,G1,1,20,386,39.969439,-75.139805
27,Girard Av & Front St,G1,1,21,386,39.968851,-75.136358
28,Lancaster Av & Ogden St,T1,3,40,378,39.968565,-75.210998
29,Girard Av & Front St,G1,5,20,376,39.968903,-75.136075
30,Girard Av & 7th St,G1,5,31,363,39.970484,-75.148022
31,Girard Av & 7th St,G1,5,30,353,39.970386,-75.148211
32,Girard Av & 8th St,G1,5,29,351,39.970568,-75.149853
33,Frankford Av & Girard Av - FS,G1,1,21,346,39.96865,-75.134493
34,Frankford Av & Girard Av,G1,1,21,346,39.968774,-75.134351
35,Frankford Av & Girard Av - FS,G1,1,21,346,39.96865,-75.134493
36,Girard Av & 19th St,G1,5,31,344,39.972427,-75.16754
37,Lancaster Av & 44th St,T1,3,36,339,39.968772,-75.211541
38,Lancaster Av & Westminster St,T1,3,35,337,39.969353,-75.212283
39,Girard Av & Frankford Av- FS,G1,1,20,336,39.968855,-75.134244
40,Drexel Station at 30th St,T1,3,2,336,39.954815,-75.1835
41,Drexel Station at 30th St,T1,3,2,336,39.954894,-75.183169
42,Drexel Station at 30th St,T2,3,2,336,39.954815,-75.1835
43,Drexel Station at 30th St,T2,3,2,336,39.954894,-75.183169
44,Drexel Station at 30th St,T3,3,2,336,39.954815,-75.1835
45,Drexel Station at 30th St,T3,3,2,336,39.954894,-75.183169
46,Drexel Station at 30th St,T4,3,2,336,39.954815,-75.1835
47,Drexel Station at 30th St,T4,3,2,336,39.954894,-75.183169
48,Drexel Station at 30th St,T5,3,2,336,39.954815,-75.1835
49,Drexel Station at 30th St,T5,3,2,336,39.954894,-75.183169
50,Girard Av & 8th St,G1,5,27,331,39.97047,-75.150042
51,33rd St,T1,3,1,326,39.954871,-75.189499
52,33rd St,T2,3,1,326,39.954871,-75.189499
53,33rd St,T3,3,1,326,39.954871,-75.189499
54,33rd St,T4,3,1,326,39.954871,-75.189499
55,33rd St,T5,3,1,326,39.954871,-75.189499
56,Frankford Av & Richmond St,G1,1,17,306,39.966124,-75.134492
57,Frankford Av & Richmond St,G1,1,17,306,39.966008,-75.134338
58,Frankford Av & Richmond St,G1,1,17,306,39.966124,-75.134492
59,Frankford Av & Richmond St,G1,1,17,306,39.966008,-75.134338
60,Girard Av & 20th St,G1,5,26,296,39.972715,-75.168874
61,Lancaster Av & 45th St,T1,3,31,291,39.969667,-75.212991
62,Girard Av & Corinthian Av,G1,5,30,287,39.972888,-75.17022
63,Girard Av & 20th St,G1,5,25,286,39.972636,-75.169087
64,Girard Av & Corinthian Av,G1,5,29,277,39.972817,-75.170421
65,Girard Av & Belmont Av - FS,G1,3,29,267,39.973208,-75.211964
66,Girard Av & Belmont Av,G1,3,27,247,39.973315,-75.212094
67,19th St,T1,5,4,245,39.953327,-75.171637
68,19th St,T2,5,4,245,39.953327,-75.171637
69,19th St,T3,5,4,245,39.953327,-75.171637
70,19th St,T4,5,4,245,39.953327,-75.171637
71,19th St,T5,5,4,245,39.953327,-75.171637
72,19th St,T1,5,3,235,39.953425,-75.171483
73,19th St,T2,5,3,235,39.953425,-75.171483
74,19th St,T3,5,3,235,39.953425,-75.171483
75,19th St,T4,5,3,235,39.953425,-75.171483
76,19th St,T5,5,3,235,39.953425,-75.171483
77,Girard Av & 40th St,G1,3,26,228,39.974043,-75.204531
78,Girard Av & 5th St,G1,5,22,227,39.970129,-75.145094
79,Girard Av & 40th St - FS,G1,3,24,220,39.974159,-75.204543
80,Girard Av & 5th St,G1,5,21,217,39.970218,-75.144905
81,Girard Av & 12th St,G1,5,7,205,39.971045,-75.155603
82,Girard Av & 12th St,G1,5,7,205,39.970965,-75.155816
83,Girard Av & 4th St,G1,5,14,187,39.96999,-75.142968
84,Frankford Av & Delaware Av - FS,G1,1,14,179,39.965205,-75.134342
85,Frankford Av & Delaware Av - FS,G1,1,14,179,39.965205,-75.134342
86,Girard Av & 3rd St,G1,5,13,177,39.969799,-75.141386
87,Girard Av & 3rd St,G1,1,13,177,39.969711,-75.141599
88,Lancaster Av & 38th St,T1,3,19,174,39.960267,-75.197016
89,Frankford Av & Delaware Av,G1,1,13,169,39.964812,-75.134485
90,Frankford Av & Delaware Av Loop,G1,1,13,169,39.964945,-75.134154
91,Frankford Av & Delaware Av,G1,1,13,169,39.964812,-75.134485
92,Frankford Av & Delaware Av Loop,G1,1,13,169,39.964945,-75.134154
93,40th St & Filbert St,T1,3,16,161,39.957929,-75.201901
94,40th St & Filbert St,T1,3,16,161,39.957929,-75.201901
95,Lancaster Av & 38th St,T1,3,17,158,39.96024,-75.196721
96,Chester Av & 49th St,T3,3,9,157,39.944041,-75.216622
97,Girard Av & 26th St,G1,5,15,156,39.973976,-75.178733
